text,label
"Dear Customer, INR 1000.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 5000.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 100000. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 200000 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 5000.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 200000. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 1350.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 6200.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 115432. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 217432 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 6200.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 217432. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 1700.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 7400.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 130864. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 234864 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 7400.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 234864. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 2050.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 8600.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 146296. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 252296 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 8600.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 252296. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 2400.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 9800.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 161728. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 269728 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 9800.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 269728. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 2750.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 11000.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 177160. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 287160 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 11000.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 287160. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 3100.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 12200.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 192592. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 304592 is your verification code for online transaction at Flipkart. Do not share.,0
URGENT: Your SBI account is BLOCKED. Update KYC immediately at http://bit.ly/sbi-kyc-update-0 to reactivate your card.,1
SBI Alert: Unauthorized login attempt detected from IP 192.168.1.55. Verify identity at http://sbi-secure-net.in now.,1
"Dear SBI customer, your PAN card is not linked to your account. Update at http://tinyurl.com/sbi-pan-link or your account will be suspended.",1
HDFC Bank: Your HDFC account shows suspicious activity. Reset your password at http://hdfc-security-portal.net to secure your funds.,1
URGENT: Your HDFC netbanking access is suspended due to invalid login attempts. Re-verify here: http://bit.ly/hdfc-verify-portal-0.,1
"ICICI Bank Alert: We detected an unauthorized transaction of Rs 25000.00. If not you, block immediately at http://icici-fraud-alert.in.",1
"Dear ICICI Customer, update your mobile number and KYC profile at http://icici-kyc-check.com to avoid account closure.",1
NPCI Alert: Your UPI KYC has expired. Update your details at http://npci-kyc-update.in or your UPI services will be blocked in 24 hours.,1
Congratulations! You have won a cashback reward of Rs 1500.00 from PhonePe. Claim now at http://bit.ly/ppe-reward-2500.,1
Your Paytm wallet is suspended due to incomplete KYC documents. Please verify your identity at http://paytm-kyc-desk.com immediately.,1
HDFC Bank: A transaction of Rs 12000 is pending. Share the OTP you received with our executive on call to confirm.,1
SBI Customer Care: We are upgrading your credit card limit. Please reply with the 6-digit OTP sent to your phone to activate the offer.,1
URGENT: Your SBI account is BLOCKED. Update KYC immediately at http://bit.ly/sbi-kyc-update-1 to reactivate your card.,1
SBI Alert: Unauthorized login attempt detected from IP 192.168.1.55. Verify identity at http://sbi-secure-net.in now.,1
"Dear SBI customer, your PAN card is not linked to your account. Update at http://tinyurl.com/sbi-pan-link or your account will be suspended.",1
HDFC Bank: Your HDFC account shows suspicious activity. Reset your password at http://hdfc-security-portal.net to secure your funds.,1
URGENT: Your HDFC netbanking access is suspended due to invalid login attempts. Re-verify here: http://bit.ly/hdfc-verify-portal-1.,1
"ICICI Bank Alert: We detected an unauthorized transaction of Rs 28200.00. If not you, block immediately at http://icici-fraud-alert.in.",1
"Dear ICICI Customer, update your mobile number and KYC profile at http://icici-kyc-check.com to avoid account closure.",1
NPCI Alert: Your UPI KYC has expired. Update your details at http://npci-kyc-update.in or your UPI services will be blocked in 24 hours.,1
Congratulations! You have won a cashback reward of Rs 1950.00 from PhonePe. Claim now at http://bit.ly/ppe-reward-2500.,1
Your Paytm wallet is suspended due to incomplete KYC documents. Please verify your identity at http://paytm-kyc-desk.com immediately.,1
HDFC Bank: A transaction of Rs 13000 is pending. Share the OTP you received with our executive on call to confirm.,1
SBI Customer Care: We are upgrading your credit card limit. Please reply with the 6-digit OTP sent to your phone to activate the offer.,1
URGENT: Your SBI account is BLOCKED. Update KYC immediately at http://bit.ly/sbi-kyc-update-2 to reactivate your card.,1
SBI Alert: Unauthorized login attempt detected from IP 192.168.1.55. Verify identity at http://sbi-secure-net.in now.,1
"Dear SBI customer, your PAN card is not linked to your account. Update at http://tinyurl.com/sbi-pan-link or your account will be suspended.",1
HDFC Bank: Your HDFC account shows suspicious activity. Reset your password at http://hdfc-security-portal.net to secure your funds.,1
URGENT: Your HDFC netbanking access is suspended due to invalid login attempts. Re-verify here: http://bit.ly/hdfc-verify-portal-2.,1
"ICICI Bank Alert: We detected an unauthorized transaction of Rs 31400.00. If not you, block immediately at http://icici-fraud-alert.in.",1
"Dear ICICI Customer, update your mobile number and KYC profile at http://icici-kyc-check.com to avoid account closure.",1
NPCI Alert: Your UPI KYC has expired. Update your details at http://npci-kyc-update.in or your UPI services will be blocked in 24 hours.,1
Congratulations! You have won a cashback reward of Rs 2400.00 from PhonePe. Claim now at http://bit.ly/ppe-reward-2500.,1
Your Paytm wallet is suspended due to incomplete KYC documents. Please verify your identity at http://paytm-kyc-desk.com immediately.,1
HDFC Bank: A transaction of Rs 14000 is pending. Share the OTP you received with our executive on call to confirm.,1
SBI Customer Care: We are upgrading your credit card limit. Please reply with the 6-digit OTP sent to your phone to activate the offer.,1
URGENT: Your SBI account is BLOCKED. Update KYC immediately at http://bit.ly/sbi-kyc-update-3 to reactivate your card.,1
SBI Alert: Unauthorized login attempt detected from IP 192.168.1.55. Verify identity at http://sbi-secure-net.in now.,1
"Dear SBI customer, your PAN card is not linked to your account. Update at http://tinyurl.com/sbi-pan-link or your account will be suspended.",1
HDFC Bank: Your HDFC account shows suspicious activity. Reset your password at http://hdfc-security-portal.net to secure your funds.,1
URGENT: Your HDFC netbanking access is suspended due to invalid login attempts. Re-verify here: http://bit.ly/hdfc-verify-portal-3.,1
"ICICI Bank Alert: We detected an unauthorized transaction of Rs 34600.00. If not you, block immediately at http://icici-fraud-alert.in.",1
"Dear ICICI Customer, update your mobile number and KYC profile at http://icici-kyc-check.com to avoid account closure.",1
NPCI Alert: Your UPI KYC has expired. Update your details at http://npci-kyc-update.in or your UPI services will be blocked in 24 hours.,1
Congratulations! You have won a cashback reward of Rs 2850.00 from PhonePe. Claim now at http://bit.ly/ppe-reward-2500.,1
Your Paytm wallet is suspended due to incomplete KYC documents. Please verify your identity at http://paytm-kyc-desk.com immediately.,1
HDFC Bank: A transaction of Rs 15000 is pending. Share the OTP you received with our executive on call to confirm.,1
SBI Customer Care: We are upgrading your credit card limit. Please reply with the 6-digit OTP sent to your phone to activate the offer.,1
