text,label
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 12200.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
"Axis Bank: Rs. 15,000.00 has been credited to your A/c ending 2451 via IMPS Ref: Axis991283.",0
Kotak Bank: OTP for netbanking login is 304592. Valid 10 min. Do not share.,0
"Kotak Bank: Rs 2,400.00 debited from A/c ending 0124 on 12-Jun. Avl Bal: Rs 42,900.00.",0
PNB: Rs.10000 credited to account ending 3456 by NEFT. Avl bal Rs.55000. Not you? Contact bank helpline.,0
PNB OTP: 301984 is your code for Aadhaar linking verification. Valid for 10 minutes.,0
"Dear Customer, INR 3450.00 has been debited from A/c XX1234 on 14-Jun-26. Avl Bal: INR 24,300.00. -SBI",0
"Dear Customer, INR 13400.00 has been credited to A/c XX1234 on 15-Jun-26. Ref: Ref123456789. -SBI",0
Your OTP for SBI NetBanking login is 208024. Valid for 10 minutes. Do not share this with anyone.,0
"SBI: Your transaction of INR 3,200.00 on Credit Card ending 9876 is successful at Amazon. Avl Limit: INR 45,000.00.",0
HDFC Bank: Rs.5000 debited from account ending 4521 on 24-Mar. Avl bal Rs.45230. Not you? Report to bank.,0
HDFC Bank OTP: 322024 is your verification code for online transaction at Flipkart. Do not share.,0
"Your HDFC Credit Card bill of Rs 12,450.00 is due on 28-Jun-26. Minimum due Rs 620.00. Please pay to avoid charges.",0
"Rs. 250.00 credited to your HDFC Bank A/c ending 8812 via UPI Ref 62714528391. Avl Bal: Rs 15,240.00.",0
ICICI Bank: Your UPI transaction of Rs.1000 to Swiggy is successful. Ref: 123456.,0
"Dear Customer, your ICICI Bank account ending 3012 is credited with Rs 45,000.00 salary on 31-May-26.",0
ICICI Bank: OTP for password reset is 554192. Do not disclose to anyone. Bank never asks for OTP.,0
"ATM Cash withdrawal of Rs 13400.00 on ICICI Bank Debit card ending 5510 at ICICI ATM. Avl Bal: Rs 89,320.00.",0
Axis Bank: Your EMI of Rs.3500 for loan account ending 7890 auto-debited on 05-Jun-26.,0
Axis Bank OTP: 981204 is your verification code. Valid for 5 minutes. Axis Bank will never call you for OTP.,0
